match_id,date,match_type,team1,team2,venue,city,toss_winner,winner
1308237,2022-11-14,T20,Ireland,Pakistan,"Gaddafi Stadium, Lahore",Lahore,Pakistan,Pakistan
1308238,2022-11-16,T20,Ireland,Pakistan,"Gaddafi Stadium, Lahore",Lahore,Ireland,Ireland
1309701,2022-04-08,T20,Uganda,Namibia,"United Cricket Club Ground, Windhoek",Windhoek,Namibia,Namibia
1309702,2022-04-09,T20,Namibia,Uganda,"United Cricket Club Ground, Windhoek",Windhoek,Uganda,Uganda
1309703,2022-04-10,T20,Namibia,Uganda,"United Cricket Club Ground, Windhoek",Windhoek,Uganda,Namibia
1310161,2022-04-29,T20,Norway,Guernsey,"Desert Springs Cricket Ground, Almeria",Almeria,Norway,Norway
1310162,2022-04-30,T20,Spain,Norway,"Desert Springs Cricket Ground, Almeria",Almeria,Spain,Spain
1310163,2022-04-30,T20,Norway,Guernsey,"Desert Springs Cricket Ground, Almeria",Almeria,Norway,Guernsey
1310164,2022-04-30,T20,Guernsey,Spain,"Desert Springs Cricket Ground, Almeria",Almeria,Guernsey,Spain
1310165,2022-05-01,T20,Spain,Guernsey,"Desert Springs Cricket Ground, Almeria",Almeria,Spain,Guernsey
1310166,2022-05-01,T20,Spain,Norway,"Desert Springs Cricket Ground, Almeria",Almeria,Spain,Spain
1310167,2022-05-07,T20,Denmark,Finland,"Svanholm Park, Brondby",Brondby,Finland,Finland
1310168,2022-05-07,T20,Denmark,Finland,"Svanholm Park, Brondby",Brondby,Finland,Denmark
1310169,2022-05-08,T20,Denmark,Finland,"Svanholm Park, Brondby",Brondby,Denmark,Denmark
1310170,2022-05-10,T20,Gibraltar,Malta,Marsa Sports Club,Marsa,Malta,Malta
1310171,2022-05-10,T20,Malta,Hungary,Marsa Sports Club,Marsa,Hungary,Malta
1310172,2022-05-10,T20,Gibraltar,Hungary,Marsa Sports Club,Marsa,Hungary,Hungary
1310173,2022-05-11,T20,Romania,Malta,Marsa Sports Club,Marsa,Malta,Malta
1310174,2022-05-11,T20,Czech Republic,Gibraltar,Marsa Sports Club,Marsa,Czech Republic,Czech Republic
1310175,2022-05-11,T20,Hungary,Bulgaria,Marsa Sports Club,Marsa,Bulgaria,Hungary
1310176,2022-05-12,T20,Malta,Czech Republic,Marsa Sports Club,Marsa,Czech Republic,Malta
1310177,2022-05-12,T20,Czech Republic,Bulgaria,Marsa Sports Club,Marsa,Czech Republic,Czech Republic
1310178,2022-05-12,T20,Romania,Hungary,Marsa Sports Club,Marsa,Romania,Hungary
1310179,2022-05-13,T20,Gibraltar,Bulgaria,Marsa Sports Club,Marsa,Gibraltar,Gibraltar
1310180,2022-05-13,T20,Romania,Czech Republic,Marsa Sports Club,Marsa,Romania,Romania
1310181,2022-05-13,T20,Bulgaria,Romania,Marsa Sports Club,Marsa,Bulgaria,Romania
1310182,2022-05-14,T20,Hungary,Czech Republic,Marsa Sports Club,Marsa,Hungary,Czech Republic
1310183,2022-05-14,T20,Gibraltar,Romania,Marsa Sports Club,Marsa,Gibraltar,Romania
1310184,2022-05-14,T20,Bulgaria,Malta,Marsa Sports Club,Marsa,Bulgaria,Malta
1310185,2022-05-15,T20,Gibraltar,Bulgaria,Marsa Sports Club,Marsa,Gibraltar,Bulgaria
1310186,2022-05-15,T20,Czech Republic,Hungary,Marsa Sports Club,Marsa,Hungary,Czech Republic
1310187,2022-05-15,T20,Romania,Malta,Marsa Sports Club,Marsa,Romania,Romania
1310188,2022-05-20,T20,Jersey,Guernsey,"College Field, St Peter Port",St Peter Port,Guernsey,Jersey
1310887,2022-04-21,T20,Zimbabwe,Uganda,"Centre for Cricket Development Ground, Windhoek",Windhoek,Zimbabwe,Zimbabwe
1310888,2022-04-20,T20,Zimbabwe,Namibia,"Centre for Cricket Development Ground, Windhoek",Windhoek,Zimbabwe,Namibia
1310889,2022-04-21,T20,Namibia,Uganda,"Centre for Cricket Development Ground, Windhoek",Windhoek,Uganda,Namibia
1310890,2022-04-22,T20,Zimbabwe,Uganda,"Centre for Cricket Development Ground, Windhoek",Windhoek,Zimbabwe,Zimbabwe
1310891,2022-04-23,T20,Namibia,Zimbabwe,"Centre for Cricket Development Ground, Windhoek",Windhoek,Zimbabwe,Zimbabwe
1310892,2022-04-23,T20,Namibia,Uganda,"Centre for Cricket Development Ground, Windhoek",Windhoek,Uganda,Namibia
1310893,2022-04-24,T20,Zimbabwe,Uganda,"Centre for Cricket Development Ground, Windhoek",Windhoek,Uganda,Zimbabwe
1310894,2022-04-24,T20,Zimbabwe,Namibia,"Centre for Cricket Development Ground, Windhoek",Windhoek,Namibia,Zimbabwe
1310895,2022-04-25,T20,Uganda,Namibia,"Centre for Cricket Development Ground, Windhoek",Windhoek,Namibia,Namibia
1310896,2022-04-26,T20,Namibia,Zimbabwe,"Centre for Cricket Development Ground, Windhoek",Windhoek,Zimbabwe,Zimbabwe
1310901,2022-08-04,T20,New Zealand,Netherlands,"Sportpark Westvliet, The Hague",The Hague,New Zealand,New Zealand
1310902,2022-08-05,T20,Netherlands,New Zealand,"Sportpark Westvliet, The Hague",The Hague,Netherlands,New Zealand
1310938,2022-05-17,T20,Zimbabwe,Namibia,"Queens Sports Club, Bulawayo",Bulawayo,Zimbabwe,Zimbabwe
1310939,2022-05-19,T20,Zimbabwe,Namibia,"Queens Sports Club, Bulawayo",Bulawayo,Zimbabwe,Namibia
1310940,2022-05-21,T20,Namibia,Zimbabwe,"Queens Sports Club, Bulawayo",Bulawayo,Namibia,Zimbabwe
1310941,2022-05-22,T20,Zimbabwe,Namibia,"Queens Sports Club, Bulawayo",Bulawayo,Namibia,Namibia
1310942,2022-05-24,T20,Namibia,Zimbabwe,"Queens Sports Club, Bulawayo",Bulawayo,Zimbabwe,Namibia
1310981,2022-05-24,T20,Sri Lanka,Pakistan,"Southend Club Cricket Stadium, Karachi",Karachi,Sri Lanka,Pakistan
1310982,2022-05-26,T20,Sri Lanka,Pakistan,"Southend Club Cricket Stadium, Karachi",Karachi,Sri Lanka,Pakistan
1310983,2022-05-28,T20,Sri Lanka,Pakistan,"Southend Club Cricket Stadium, Karachi",Karachi,Sri Lanka,Pakistan
1311744,2022-04-27,T20,Hong Kong,United Arab Emirates,"Malek Cricket Ground, Ajman",Ajman,Hong Kong,United Arab Emirates
1311745,2022-04-28,T20,United Arab Emirates,Hong Kong,"Malek Cricket Ground, Ajman",Ajman,Hong Kong,United Arab Emirates
1311746,2022-04-29,T20,United Arab Emirates,Hong Kong,"Malek Cricket Ground, Ajman",Ajman,United Arab Emirates,United Arab Emirates
