match_id,date,match_type,team1,team2,venue,city,toss_winner,winner
257470,2006-09-20,ODI,South Africa,Zimbabwe,Sedgars Park,Potchefstroom,South Africa,South Africa
257769,2006-12-07,ODI,Pakistan,West Indies,Iqbal Stadium,Faisalabad,Pakistan,Pakistan
257770,2006-12-10,ODI,Pakistan,West Indies,Gaddafi Stadium,Lahore,Pakistan,Pakistan
257771,2006-12-13,ODI,Pakistan,West Indies,Multan Cricket Stadium,,Pakistan,West Indies
257772,2006-12-16,ODI,Pakistan,West Indies,National Stadium,Karachi,Pakistan,Pakistan
258465,2007-07-01,ODI,England,West Indies,Lord's,London,West Indies,England
258466,2007-07-04,ODI,England,West Indies,Edgbaston,Birmingham,England,West Indies
258467,2007-07-07,ODI,England,West Indies,Trent Bridge,Nottingham,West Indies,West Indies
258471,2007-08-21,ODI,England,India,The Rose Bowl,Southampton,India,England
258472,2007-08-24,ODI,England,India,County Ground,Bristol,India,India
258473,2007-08-27,ODI,England,India,Edgbaston,Birmingham,India,England
258474,2007-08-30,ODI,England,India,Old Trafford,Manchester,India,England
258475,2007-09-02,ODI,England,India,Headingley,Leeds,England,India
258476,2007-09-05,ODI,England,India,Kennington Oval,London,England,India
258477,2007-09-08,ODI,England,India,Lord's,London,India,England
259384,2006-11-27,ODI,Bermuda,Canada,Sedgars Park,Potchefstroom,Canada,Canada
259389,2006-12-02,ODI,Bermuda,Netherlands,Willowmoore Park,Benoni,Netherlands,Bermuda
259390,2006-11-30,ODI,Bermuda,Canada,Willowmoore Park,Benoni,Canada,Canada
259391,2006-12-01,ODI,Canada,Netherlands,Willowmoore Park,Benoni,Netherlands,Netherlands
259793,2006-09-18,ODI,South Africa,Zimbabwe,Buffalo Park,East London,Zimbabwe,South Africa
264068,2006-12-03,ODI,Bangladesh,Zimbabwe,Shaheed Chandu Stadium,Bogra,Bangladesh,Bangladesh
264069,2006-12-05,ODI,Bangladesh,Zimbabwe,Shaheed Chandu Stadium,Bogra,Zimbabwe,Bangladesh
264070,2006-12-08,ODI,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Mirpur,Bangladesh,Bangladesh
264071,2006-12-09,ODI,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Mirpur,Bangladesh,Bangladesh
267386,2007-02-02,ODI,Bermuda,Canada,Gymkhana Club Ground,Nairobi,Bermuda,Canada
267387,2007-02-04,ODI,Bermuda,Netherlands,Ruaraka Sports Club Ground,Nairobi,Netherlands,Netherlands
267389,2007-02-04,ODI,Kenya,Scotland,Gymkhana Club Ground,Nairobi,Scotland,Scotland
267391,2007-02-05,ODI,Kenya,Canada,Jaffery Sports Club Ground,Nairobi,Kenya,Kenya
267708,2007-01-27,ODI,India,West Indies,"MA Chidambaram Stadium, Chepauk",Chennai,West Indies,West Indies
267709,2007-01-31,ODI,India,West Indies,Indian Petrochemicals Corporation Limited Sports Complex Ground,Vadodara,West Indies,India
267710,2007-02-08,ODI,India,Sri Lanka,Eden Gardens,Kolkata,India,
267712,2007-02-11,ODI,India,Sri Lanka,Madhavrao Scindia Cricket Ground,Rajkot,India,Sri Lanka
267713,2007-02-17,ODI,India,Sri Lanka,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,Visakhapatnam,India,India
267715,2007-02-14,ODI,India,Sri Lanka,"Nehru Stadium, Fatorda",Margao,Sri Lanka,India
271465,2007-01-22,ODI,South Africa,Pakistan,Harlequins,Pretoria,Pakistan,South Africa
271466,2007-01-24,ODI,Pakistan,South Africa,"Sinovich Park, Sinoville",Pretoria,Pakistan,South Africa
275789,2007-08-16,ODI,Scotland,India,Titwood,Glasgow,India,India
276226,2007-03-05,ODI,New Zealand,Australia,"MA Chidambaram Stadium, Chepauk",Chennai,New Zealand,Australia
282688,2007-05-10,ODI,Bangladesh,India,Shere Bangla National Stadium,Mirpur,Bangladesh,India
282689,2007-05-12,ODI,Bangladesh,India,Shere Bangla National Stadium,Mirpur,India,India
289107,2007-06-06,ODI,Africa XI,Asia XI,M Chinnaswamy Stadium,Bangalore,Asia XI,Asia XI
289108,2007-06-09,ODI,Africa XI,Asia XI,"MA Chidambaram Stadium, Chepauk",Chennai,Asia XI,Asia XI
289110,2007-06-10,ODI,Africa XI,Asia XI,"MA Chidambaram Stadium, Chepauk",Chennai,Asia XI,Asia XI
291217,2007-10-01,ODI,Sri Lanka,England,Rangiri Dambulla International Stadium,,Sri Lanka,Sri Lanka
291218,2007-10-04,ODI,Sri Lanka,England,Rangiri Dambulla International Stadium,,England,England
291220,2007-10-10,ODI,Sri Lanka,England,R Premadasa Stadium,Colombo,Sri Lanka,England
291221,2007-10-13,ODI,Sri Lanka,England,R Premadasa Stadium,Colombo,Sri Lanka,Sri Lanka
291345,2007-12-14,ODI,Australia,New Zealand,Adelaide Oval,,New Zealand,Australia
291346,2007-12-16,ODI,Australia,New Zealand,Sydney Cricket Ground,,New Zealand,
291347,2007-12-20,ODI,Australia,New Zealand,Bellerive Oval,Hobart,New Zealand,Australia
